text,intent,type,intents,segments
remember to drop off today,create_reminder,single_intent,['create_reminder'],
set alarm to visit at noon,create_reminder,single_intent,['create_reminder'],
set alarm to collect at 4 PM,create_reminder,single_intent,['create_reminder'],
can you appointment to return on Monday,create_reminder,single_intent,['create_reminder'],
schedule collect for 4 PM,create_reminder,single_intent,['create_reminder'],
remind important me to prepare at midnight,create_reminder,single_intent,['create_reminder'],
schedule start for 7:30 PM,create_reminder,single_intent,['create_reminder'],
would you please remind me about contact next Tuesday,create_reminder,single_intent,['create_reminder'],
remind me to kindly call at 9:15 AM,create_reminder,single_intent,['create_reminder'],
schedule clean for 4 PM,create_reminder,single_intent,['create_reminder'],
remind urgent me about review this weekend,create_reminder,single_intent,['create_reminder'],
reminder for update today,create_reminder,single_intent,['create_reminder'],
appointment to clean next Tuesday,create_reminder,single_intent,['create_reminder'],
would you set alarm to update at 11:45 PM,create_reminder,single_intent,['create_reminder'],
remind importanter for shower today,create_reminder,single_intent,['create_reminder'],
schedule submit for 7:30 PM,create_reminder,single_intent,['create_reminder'],
alert me to text at lunch time,create_reminder,single_intent,['create_reminder'],
can you appointment to collect on Monday,create_reminder,single_intent,['create_reminder'],
schedule call for 7:30 PM,create_reminder,single_intent,['create_reminder'],
don't forget to practice next week,create_reminder,single_intent,['create_reminder'],
schedule deliver for 10 AM,create_reminder,single_intent,['create_reminder'],
reminder for pick up this weekend,create_reminder,single_intent,['create_reminder'],
would you set a reminder to book on Friday,create_reminder,single_intent,['create_reminder'],
alert me to give next week,create_reminder,single_intent,['create_reminder'],
reminder for start at lunch time,create_reminder,single_intent,['create_reminder'],
appointment to email at lunch time,create_reminder,single_intent,['create_reminder'],
set a reminder to exercise this weekend,create_reminder,single_intent,['create_reminder'],
please remind me about workout this morning,create_reminder,single_intent,['create_reminder'],
alert me to workout at lunch time,create_reminder,single_intent,['create_reminder'],
remind me about modify later,create_reminder,single_intent,['create_reminder'],
don't forget to fetch this weekend,create_reminder,single_intent,['create_reminder'],
alert me to buy next week,create_reminder,single_intent,['create_reminder'],
reminder for arrive at lunch time,create_reminder,single_intent,['create_reminder'],
remember shopping list,create_note,single_intent,['create_note'],
could you jot down important documents,create_note,single_intent,['create_note'],
could you add to my notes vacation plans,create_note,single_intent,['create_note'],
add to my notes contact information,create_note,single_intent,['create_note'],
remember project ideas,create_note,single_intent,['create_note'],
note that milk and bread,create_note,single_intent,['create_note'],
write down shopping list,create_note,single_intent,['create_note'],
create a note about research notes,create_note,single_intent,['create_note'],
would you make a kindly note that websites,create_note,single_intent,['create_note'],
would you add to my notes meeting agenda,create_note,single_intent,['create_note'],
could you note that milk and bread,create_note,single_intent,['create_note'],
make a note that important documents,create_note,single_intent,['create_note'],
note that shopping list,create_note,single_intent,['create_note'],
record phone numbers,create_note,single_intent,['create_note'],
note to sleep,create_note,single_intent,['create_note'],
could you create a kindly note about shopping list,create_note,single_intent,['create_note'],
save milk and bread,create_note,single_intent,['create_note'],
remember book recommendations,create_note,single_intent,['create_note'],
create a note about research notes,create_note,single_intent,['create_note'],
make a note that recipe ingredients,create_note,single_intent,['create_note'],
note that vacation plans,create_note,single_intent,['create_note'],
note that research notes,create_note,single_intent,['create_note'],
note that gift ideas,create_note,single_intent,['create_note'],
save groceries,create_note,single_intent,['create_note'],
jot down shopping list,create_note,single_intent,['create_note'],
note to workout,create_note,single_intent,['create_note'],
jot down gift ideas,create_note,single_intent,['create_note'],
remember shopping list,create_note,single_intent,['create_note'],
note to drop off,create_note,single_intent,['create_note'],
create a note about milk and bread,create_note,single_intent,['create_note'],
could you add to my notes groceries,create_note,single_intent,['create_note'],
make a please note that passwords,create_note,single_intent,['create_note'],
keep track of milk and bread,create_note,single_intent,['create_note'],
expense of $25 for coffee,create_ledger,single_intent,['create_ledger'],
borrowed $45 from doctor for phone bill,create_ledger,single_intent,['create_ledger'],
boss owes me $30,create_ledger,single_intent,['create_ledger'],
I lent $15 to Jim,create_ledger,single_intent,['create_ledger'],
expense of $25 for phone bill,create_ledger,single_intent,['create_ledger'],
paid $100 to Alice,create_ledger,single_intent,['create_ledger'],
cost $15 for lunch,create_ledger,single_intent,['create_ledger'],
I owe Bob $50,create_ledger,single_intent,['create_ledger'],
colleague borrowed $200 from me,create_ledger,single_intent,['create_ledger'],
paid $25 to Jane,create_ledger,single_intent,['create_ledger'],
Ryan will pay me $200,create_ledger,single_intent,['create_ledger'],
Sarah paid me $150,create_ledger,single_intent,['create_ledger'],
expense of $30 for travel expenses,create_ledger,single_intent,['create_ledger'],
expense of $15 for clothes,create_ledger,single_intent,['create_ledger'],
Alex owes $150 for books,create_ledger,single_intent,['create_ledger'],
could you Mike owes me $45,create_ledger,single_intent,['create_ledger'],
spent $80 on utilities,create_ledger,single_intent,['create_ledger'],
can you Alex owes me $150,create_ledger,single_intent,['create_ledger'],
Sarah paid me $200,create_ledger,single_intent,['create_ledger'],
Sarah owes $45 for lunch,create_ledger,single_intent,['create_ledger'],
can you expense of $45 for travel expenses,create_ledger,single_intent,['create_ledger'],
could you paid $75 to Joe,create_ledger,single_intent,['create_ledger'],
borrowed $10 from Mike for gas,create_ledger,single_intent,['create_ledger'],
partner owes $10 for phone bill,create_ledger,single_intent,['create_ledger'],
I owe Alex $150,create_ledger,single_intent,['create_ledger'],
John owes me $15,create_ledger,single_intent,['create_ledger'],
expense of $80 for phone bill,create_ledger,single_intent,['create_ledger'],
I lent $15 to Ryan,create_ledger,single_intent,['create_ledger'],
could you roommate paid me $10,create_ledger,single_intent,['create_ledger'],
colleague paid me $50,create_ledger,single_intent,['create_ledger'],
borrowed $45 from partner for travel expenses,create_ledger,single_intent,['create_ledger'],
expense of $100 for books,create_ledger,single_intent,['create_ledger'],
cost $75 for lunch,create_ledger,single_intent,['create_ledger'],
what time is it,chit_chat,single_intent,['chit_chat'],
would you what can you help with,chit_chat,single_intent,['chit_chat'],
hello how are you,chit_chat,single_intent,['chit_chat'],
help me please,chit_chat,single_intent,['chit_chat'],
help me please,chit_chat,single_intent,['chit_chat'],
can you nice to meet you,chit_chat,single_intent,['chit_chat'],
help me please,chit_chat,single_intent,['chit_chat'],
good morning,chit_chat,single_intent,['chit_chat'],
thank you,chit_chat,single_intent,['chit_chat'],
help me please,chit_chat,single_intent,['chit_chat'],
how does this work,chit_chat,single_intent,['chit_chat'],
thank you,chit_chat,single_intent,['chit_chat'],
how does this work,chit_chat,single_intent,['chit_chat'],
hello how are you,chit_chat,single_intent,['chit_chat'],
would you thank you,chit_chat,single_intent,['chit_chat'],
could you how does this work,chit_chat,single_intent,['chit_chat'],
what can you help with,chit_chat,single_intent,['chit_chat'],
how does this work,chit_chat,single_intent,['chit_chat'],
what time is it,chit_chat,single_intent,['chit_chat'],
hello how are you,chit_chat,single_intent,['chit_chat'],
hello how are you,chit_chat,single_intent,['chit_chat'],
hello how are you,chit_chat,single_intent,['chit_chat'],
what time is it,chit_chat,single_intent,['chit_chat'],
could you hello how are you,chit_chat,single_intent,['chit_chat'],
how's the weather,chit_chat,single_intent,['chit_chat'],
